id,title,type,release_year,age_certification,runtime,genre.2.1,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
tm44402,"Girl, Interrupted",MOVIE,1999,R,127,european,"['DE', 'US']",7.3,183154,20.424,7.3,108
tm187187,Last Action Hero,MOVIE,1993,PG-13,131,action,['US'],6.4,150498,22.196,6.4,87
tm187187,Last Action Hero,MOVIE,1993,PG-13,131,fantasy,['US'],6.4,150498,22.196,6.4,87
tm187187,Last Action Hero,MOVIE,1993,PG-13,131,comedy,['US'],6.4,150498,22.196,6.4,87
tm187187,Last Action Hero,MOVIE,1993,PG-13,131,family,['US'],6.4,150498,22.196,6.4,87
ts16919,All That,SHOW,1994,TV-G,22,comedy,['US'],7.5,7718,6.688,7.5,89
ts16919,All That,SHOW,1994,TV-G,22,family,['US'],7.5,7718,6.688,7.5,89
ts16919,All That,SHOW,1994,TV-G,22,music,['US'],7.5,7718,6.688,7.5,89
tm6859,My Girl,MOVIE,1991,PG,103,drama,['US'],6.9,80590,20.545,6.9,140
tm6859,My Girl,MOVIE,1991,PG,103,family,['US'],6.9,80590,20.545,6.9,140
tm6859,My Girl,MOVIE,1991,PG,103,romance,['US'],6.9,80590,20.545,6.9,140
tm6859,My Girl,MOVIE,1991,PG,103,comedy,['US'],6.9,80590,20.545,6.9,140
tm6859,My Girl,MOVIE,1991,PG,103,european,['US'],6.9,80590,20.545,6.9,140
tm118238,Wyatt Earp,MOVIE,1994,PG-13,191,western,['US'],6.7,50774,14.677,6.7,258
tm118238,Wyatt Earp,MOVIE,1994,PG-13,191,crime,['US'],6.7,50774,14.677,6.7,258
tm118238,Wyatt Earp,MOVIE,1994,PG-13,191,action,['US'],6.7,50774,14.677,6.7,258
tm118238,Wyatt Earp,MOVIE,1994,PG-13,191,drama,['US'],6.7,50774,14.677,6.7,258
tm111163,Eraser,MOVIE,1996,R,115,thriller,"['US', 'CA']",6.1,110921,19.437,6.1,198
tm111163,Eraser,MOVIE,1996,R,115,action,"['US', 'CA']",6.1,110921,19.437,6.1,198
tm111163,Eraser,MOVIE,1996,R,115,drama,"['US', 'CA']",6.1,110921,19.437,6.1,198
tm111163,Eraser,MOVIE,1996,R,115,crime,"['US', 'CA']",6.1,110921,19.437,6.1,198
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,Unrated,87,action,['JP'],8,53152,32.569,8,64
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,Unrated,87,drama,['JP'],8,53152,32.569,8,64
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,Unrated,87,animation,['JP'],8,53152,32.569,8,64
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,Unrated,87,scifi,['JP'],8,53152,32.569,8,64
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,Unrated,87,fantasy,['JP'],8,53152,32.569,8,64
tm192769,Vegas Vacation,MOVIE,1997,PG,94,comedy,['US'],5.9,49377,12.537,5.9,136
tm187791,In the Line of Fire,MOVIE,1993,R,128,drama,['US'],7.2,102916,19.8,7.2,208
tm187791,In the Line of Fire,MOVIE,1993,R,128,thriller,['US'],7.2,102916,19.8,7.2,208
